Parameter Comparison: True vs Learned
============================================================

SQ file: /data2/datasets/SQs/SmartFx/sq_pa/SQ/105840193_2_C1.wav
Encoder: cascaded-v6
Disabled FX: distortion, delay, imager
Active MAE (active params): 0.0871
Overall MAE (47 params): 0.0796
Ld (MR-STFT): 0.4597

Idx         True    Learned    |Error|
----------------------------------------
0         0.4837     0.3918     0.0919
1         0.4524     0.4009     0.0515
2         0.4720     0.5373     0.0653
3         0.6418     0.6255     0.0164
4         0.4314     0.4408     0.0095
5         0.4958     0.4157     0.0802
6         0.3561     0.4298     0.0737
7         0.4748     0.4911     0.0163
8         0.5780     0.6563     0.0783
9         0.5740     0.4275     0.1464
10        0.4203     0.4619     0.0416
11        0.5315     0.6293     0.0978
12        0.3815     0.3114     0.0701
13        0.4087     0.5733     0.1645
14        0.5890     0.5849     0.0041
15        0.5750     0.4898     0.0851
16        0.4725     0.4846     0.0121
17        0.5659     0.4772     0.0887
18        0.3652     0.3621     0.0031
19        0.5112     0.3863     0.1250
20        0.4147     0.4602     0.0455
21        0.6472     0.3972     0.2500
22        0.5764     0.5785     0.0020
23        0.6477     0.5169     0.1309
24        0.5827     0.5071     0.0756
25        0.6242     0.5455     0.0787
26        0.4258     0.6294     0.2035
27        0.4003     0.6219     0.2215
28        0.4154     0.2877     0.1277
29        0.4584     0.6456     0.1872
30        0.4033     0.4246     0.0213
31        0.3924     0.4574     0.0649
32        0.5638     0.3413     0.2224
33        0.4593     0.5281     0.0688
34        0.4213     0.4861     0.0649
35        0.6463     0.4747     0.1716
36        0.3744     0.4123     0.0379
37        0.4204     0.4070     0.0133
38        0.5628     0.4318     0.1310
39        0.0000     0.0000     0.0000 [OFF]
40        0.4140     0.4197     0.0056
41        0.0000     0.0000     0.0000 [OFF]
42        0.0000     0.0000     0.0000 [OFF]
43        0.0000     0.0000     0.0000 [OFF]
44        0.5039     0.5179     0.0140
45        0.5196     0.3338     0.1858
46        0.6468     0.5490     0.0978
