Parameter Comparison: True vs Learned
============================================================

SQ file: /data2/datasets/SQs/SmartFx/sq_pa/SQ/219755178_2_C1.wav
Encoder: cascaded-v6
Disabled FX: distortion, delay, imager
Active MAE (active params): 0.0908
Overall MAE (47 params): 0.0831
Ld (MR-STFT): 0.2754

Idx         True    Learned    |Error|
----------------------------------------
0         0.3709     0.4595     0.0886
1         0.3895     0.4193     0.0297
2         0.5361     0.4633     0.0728
3         0.4655     0.5870     0.1214
4         0.5127     0.5704     0.0577
5         0.4905     0.3961     0.0944
6         0.5181     0.4767     0.0414
7         0.4274     0.4333     0.0060
8         0.4084     0.6093     0.2009
9         0.4100     0.5116     0.1016
10        0.4886     0.3309     0.1577
11        0.6492     0.5230     0.1262
12        0.4654     0.5934     0.1280
13        0.5790     0.3269     0.2521
14        0.6041     0.3909     0.2132
15        0.6223     0.6388     0.0165
16        0.5228     0.5185     0.0043
17        0.6467     0.5820     0.0647
18        0.6341     0.4357     0.1984
19        0.6437     0.5391     0.1046
20        0.3550     0.3529     0.0021
21        0.6169     0.4684     0.1485
22        0.4222     0.4935     0.0713
23        0.6246     0.5335     0.0911
24        0.3753     0.3647     0.0106
25        0.3505     0.3361     0.0144
26        0.4888     0.6651     0.1763
27        0.5300     0.6060     0.0760
28        0.5929     0.5871     0.0058
29        0.3626     0.5322     0.1697
30        0.3529     0.4502     0.0973
31        0.4834     0.5392     0.0558
32        0.4157     0.4953     0.0796
33        0.5994     0.4451     0.1543
34        0.5985     0.5072     0.0913
35        0.3926     0.3890     0.0037
36        0.5360     0.5817     0.0457
37        0.4207     0.6452     0.2245
38        0.6036     0.5216     0.0820
39        0.0000     0.0000     0.0000 [OFF]
40        0.4975     0.5804     0.0829
41        0.0000     0.0000     0.0000 [OFF]
42        0.0000     0.0000     0.0000 [OFF]
43        0.0000     0.0000     0.0000 [OFF]
44        0.5591     0.5530     0.0061
45        0.6216     0.5265     0.0951
46        0.5461     0.5062     0.0399
