Parameter Comparison: True vs Learned
============================================================

SQ file: /data2/datasets/SQs/SmartFx/sq_pa/SQ/804225_1_V1.wav
Encoder: cascaded-v6
Disabled FX: distortion, delay, imager
Active MAE (active params): 0.1433
Overall MAE (47 params): 0.1311
Ld (MR-STFT): 0.4162

Idx         True    Learned    |Error|
----------------------------------------
0         0.5266     0.4456     0.0810
1         0.4577     0.2841     0.1735
2         0.5976     0.3112     0.2864
3         0.4050     0.3130     0.0920
4         0.5250     0.6170     0.0920
5         0.5545     0.3611     0.1934
6         0.4865     0.4236     0.0629
7         0.5765     0.4736     0.1029
8         0.3507     0.6926     0.3418
9         0.6395     0.5358     0.1037
10        0.5933     0.5788     0.0146
11        0.5913     0.6537     0.0624
12        0.5543     0.6277     0.0734
13        0.5007     0.5185     0.0178
14        0.3852     0.5994     0.2141
15        0.4543     0.4065     0.0477
16        0.4203     0.4815     0.0612
17        0.3911     0.5324     0.1413
18        0.5281     0.3689     0.1592
19        0.5755     0.3545     0.2210
20        0.3818     0.7269     0.3451
21        0.4287     0.5570     0.1283
22        0.6117     0.5593     0.0524
23        0.4111     0.2155     0.1956
24        0.5314     0.6535     0.1221
25        0.6413     0.6954     0.0541
26        0.3601     0.2215     0.1387
27        0.6071     0.6327     0.0256
28        0.5099     0.2847     0.2252
29        0.3641     0.5615     0.1974
30        0.6133     0.2929     0.3203
31        0.5241     0.3700     0.1541
32        0.4095     0.5122     0.1027
33        0.5950     0.6092     0.0142
34        0.4000     0.5101     0.1101
35        0.3981     0.6838     0.2857
36        0.4522     0.2833     0.1689
37        0.4866     0.3638     0.1228
38        0.4272     0.7050     0.2778
39        0.0000     0.0000     0.0000 [OFF]
40        0.4898     0.3165     0.1732
41        0.0000     0.0000     0.0000 [OFF]
42        0.0000     0.0000     0.0000 [OFF]
43        0.0000     0.0000     0.0000 [OFF]
44        0.5854     0.6253     0.0398
45        0.5338     0.2921     0.2418
46        0.4979     0.3735     0.1244
