Parameter Comparison: True vs Learned
============================================================

SQ file: /data2/datasets/SQs/SmartFx/sq_pa/SQ/200620605_1_V1.wav
Encoder: cascaded-v6
Disabled FX: distortion, delay, imager
Active MAE (active params): 0.1033
Overall MAE (47 params): 0.0945
Ld (MR-STFT): 0.3209

Idx         True    Learned    |Error|
----------------------------------------
0         0.4019     0.4619     0.0599
1         0.3530     0.5605     0.2075
2         0.5651     0.5472     0.0179
3         0.4578     0.5686     0.1108
4         0.4880     0.5864     0.0984
5         0.6255     0.3920     0.2335
6         0.5501     0.4508     0.0993
7         0.6326     0.5165     0.1160
8         0.3961     0.6068     0.2107
9         0.5260     0.5964     0.0704
10        0.4596     0.4602     0.0005
11        0.5214     0.5456     0.0241
12        0.4339     0.3947     0.0393
13        0.3871     0.3655     0.0216
14        0.3949     0.3841     0.0108
15        0.3934     0.4316     0.0382
16        0.4202     0.4326     0.0125
17        0.4424     0.5649     0.1225
18        0.4030     0.5670     0.1640
19        0.4258     0.5340     0.1082
20        0.3590     0.5909     0.2319
21        0.4613     0.4972     0.0360
22        0.6027     0.4870     0.1157
23        0.4151     0.5186     0.1035
24        0.6212     0.3937     0.2275
25        0.5953     0.3308     0.2645
26        0.6013     0.6364     0.0351
27        0.3818     0.6100     0.2282
28        0.5461     0.5158     0.0303
29        0.4709     0.3860     0.0849
30        0.6425     0.5490     0.0935
31        0.3761     0.5272     0.1511
32        0.4637     0.5146     0.0508
33        0.3800     0.5097     0.1297
34        0.5973     0.4998     0.0975
35        0.5780     0.5249     0.0531
36        0.3904     0.3584     0.0320
37        0.4369     0.5445     0.1075
38        0.4540     0.5965     0.1426
39        0.0000     0.0000     0.0000 [OFF]
40        0.4014     0.5760     0.1746
41        0.0000     0.0000     0.0000 [OFF]
42        0.0000     0.0000     0.0000 [OFF]
43        0.0000     0.0000     0.0000 [OFF]
44        0.4827     0.5109     0.0282
45        0.4372     0.6131     0.1759
46        0.4255     0.5088     0.0833
